Fine_CellType,Genes,Broad_Category
periderm,"ELF3, GABRP, IL36RN, KRT18, KRT8, MUC16, UPK2, VTCN1",Epidermis
DEVELOPING NEPHRON,PAX2,Epithelial
EPITHELIUM,"CDH1, EPCAM, KRT19",Epithelial
Endoderm,"ASGR1, EPCAM, HNF4A, SPINK1",Epithelial
Epigenetic and chromatin-associated factors,"ASXL1, CASP3, HDAC1, HDAC2, HDAC3, SIRT1, TET1, TET2",Erythroid
HEPATOCYTE,"AFP, ALB, APOA1",Epithelial
Hepatocyte,APOA1,Epithelial
coelomic gonadal epithelium,"GATA6, KRT19, LRRN4, UPK3B",Epithelial
epicardial derived cell,TBX18,Epithelial
hepatocyte,"AFP, APOA1",Epithelial
intestinal epithelium,CDX2,Epithelial
kidney podocyte,"NPHS1, NPHS2, WT1",Epithelial
lung epithelium,"CPM, LRRC36, NKX2-1, TPPP3, UGT2B7",Epithelial
oesophageal epithelium,"DCDC2, EPS8L2, FOXA1, KLF5, SOX2",Epithelial
pharyngeal epithelium,"FOXP2, ISL1, NKX2-3, NKX2-5",Epithelial
retinal pigment epithelium,"ALDH1A3, CCK, DCT, HSD17B2, MITF, PAX2, POMC, TRPM3",Epithelial
stomach epithelium,"AGR3, DCDC2, FOXA1, FXYD3, KLF5, ONECUT2, STARD10",Epithelial
Early-OrthoE,"ALAS2, ARL4A, BNIP3L, BSG, HBD, IFIT1B, LPIN2, SLC25A37, TMCC2, XPO7",Erythroid
Early-PolyE,"ACTB, CFL1",Erythroid
Embryonic_erythroid,"GYPA, HBE1, HBZ",Erythroid
Ery lineage,"HBB, HBG1",Erythroid
Erythrocytes,"HBA1, HBE1",Erythroid
Erythroid,"GYPA, HBE1, HBG1, HBZ",Erythroid
Late ERY,BPGM,Erythroid
Late-PolyE,"ARL6IP1, GYPA, GYPB, HBD, SKP1, TOP1",Erythroid
Late_ERY,"GYPA, GYPB, HBZ, SLC4A1",Erythroid
Late_OrthoE,"HBA1, HBA2, MKRN1, UBB",Erythroid
Mid ERY,"ALAS2, HBA1",Erythroid
Mid_ERY,"BLVRB, CD36, OAT",Erythroid
RBC,HEMGN,Erythroid
early erythroid,"APOC, EPCAM, HBE1, HBZ, MYC",Erythroid
ery_increase_over_time,"HBA1, HBB",Erythroid
erythropoiesis,"GYPA, SLAMF1, TFRC",Erythroid
late erythroid,"BLVRB, GYPA, HBA1, PRDX2",Erythroid
mid erythroid,"GATA1, GYPA, KLF1, PRDX2",Erythroid
mid-late erythroid,"GATA1, GYPA, HBA1, KLF1",Erythroid
FIBROBLAST,PDGFRA,Fibroblast
Fibro,ECM1,Fibroblast
Fibroblast,"LUM, PDGFRA, THY1, VCAN,ECM1",Fibroblast
SPLENIC FIBRO,NKX2-5,Fibroblast
arteriolar fibroblast,"BGN, COL3A1, DCN, SERPINF1",Fibroblast
dermal fibroblast,"CYP1B1, EPHA7, FRZB, HOXC4, HOXC5, SLC1A3, SLC6A1, SLC6A13, WNT2",Fibroblast
endosteal fibroblast,"BGN, COL3A1, DCN, SERPINF1",Fibroblast
fibroblast,"GDF10, MECOM, PDGFRA, UNC5C",Fibroblast
hepatic stellate cell,HGF,Fibroblast
limb fibroblast,"HIC1, MEOX2, PDGFRA, SHOX2, TBX15, TBX18, TBX3, TBX5, XX2",Fibroblast
meningeal fibroblast,"ACTG2, ALDH1A2, CLDN11",Fibroblast
renal fibroblast,"CDH9, GATA5",Fibroblast
B cell progenitor,"CD19, DNTT, IGHD, IGHM, IL7R, MS4A1, RAG1, SPINK2, VPREB1",Lymphoid_Haem
B lineage,"CD19, CD79A, CD99, CEACAM8, MME, MS4A1, PAX5, TNFRSF13C, VPREB1",Lymphoid_Haem
B1,"CCR10, CD27, SPN",Lymphoid_Haem
B_lineage,"CD19, CD79B, HLA-DRA, IGKC, IGLL1, LTB, MS4A1, PAX5, TCL1A, VPREB1",Lymphoid_Haem
CD16+ NK,"FCGR3A, GNLY, NKG7",Lymphoid_Haem
CD16- NK,"CD160, GNLY, NKG7",Lymphoid_Haem
CD4 T cell,"AQP3, CD3D, CD40LG, TRAC",Lymphoid_Haem
CD4T/CD56 NK,"CD3E, KLRB1",Lymphoid_Haem
CD4_TCM-like,"CCR7, S1PR1, SELL",Lymphoid_Haem
CD4_TRM,"CCR4, CD69, FOXP1",Lymphoid_Haem
CD4_Th,"CCR4, FOXP1, RORA",Lymphoid_Haem
CD4_Th1,"STAT1, TBX21",Lymphoid_Haem
CD4_Th17,"IL17A, RORC",Lymphoid_Haem
CD4_Th2,"GATA3, IL13, PPARG",Lymphoid_Haem
CD4_Th22,"IL21, IL22",Lymphoid_Haem
CD56 bright NK,"GZMK, NKG7, PRF1, XCL1",Lymphoid_Haem
CD8,"CD8A, CD8B, SELL",Lymphoid_Haem
CD8 T cell,"CD3D, CD8A, CD8B, TRAC",Lymphoid_Haem
CD8 TRM,"CD3E, CD44, CD69, CD8A, RUNX3",Lymphoid_Haem
CD8_cytotoxic,"CCL5, CD8A, GZMB",Lymphoid_Haem
DB1 neuron,"LBX1, LHX1, LHX5, PAX2",Lymphoid_Haem
Early lymphoid/T lymphoid,"ETS1, GATA3, IL32",Lymphoid_Haem
ILC,"AREG, S100A13, TLE1",Lymphoid_Haem
ILC pre.,"CD3E, CD7, IL32, KLRB1, LTB, PTPRC",Lymphoid_Haem
ILC precursor,"GATA3, KIT, RORC, ZBTB16",Lymphoid_Haem
ILC1,"CD3D, CXCR3, IKZF3",Lymphoid_Haem
ILC2,"GATA3, HPGDS, KLRG1",Lymphoid_Haem
ILC3,"IL4I1, KIT, RORC",Lymphoid_Haem
ILC_prec.,"CD34, CD3E, CD7, IL7R, KIT, KLRB1, PTPRC",Lymphoid_Haem
ILC_precursor,"HPN, LST1, SCN1B",Lymphoid_Haem
LATE PRO B,"CD27, DNTT, RAG1, VPREB3",Lymphoid_Haem
Lymphoid,"CD7, IL7R",Lymphoid_Haem
MYSENCHYMAL LYMPHOID TISSUE ORGANISER,"CCL19, CCL21, CXCL13",Lymphoid_Haem
NK,"GNLY, KLRD1, NCAM1, NKG7, XCL2",Lymphoid_Haem
NK T cell,"CD8A, KLRB1, NKG7, TRAC",Lymphoid_Haem
NK progenitor,"CD34, NKG7, PRSS57, SOX4, TOX",Lymphoid_Haem
PLASMA B,"CD38, JCHAIN, SDC1",Lymphoid_Haem
PRE PRO B,"CD19, FLT3, VPREB1",Lymphoid_Haem
PRO B,"CDC45, DHFR, MKI67, MME",Lymphoid_Haem
Pre pro-B cell,"CD79B, IGLL1",Lymphoid_Haem
T lineage,"BCL11B, CD3D",Lymphoid_Haem
T/NK,"CD8A, KLRD1, NCAM1, NKG7, XCL2",Lymphoid_Haem
Trans. NK,"CCL5, FCGR3A, GZMK",Lymphoid_Haem
Treg,"CD3D, CTLA4, FOXP3, TIGIT, TRAC",Lymphoid_Haem
immature B cell,"CD19, IGHM, MS4A1, PAX5",Lymphoid_Haem
lymphoid progenitor,"CD34, IL7R, KIT, SPINK2",Lymphoid_Haem
mature NK,"FCGR3A, GZMH, NKG7, PRF1",Lymphoid_Haem
naive B cell,"CD19, CD40, FCER2, IGHM, MS4A1",Lymphoid_Haem
pre pro B progenitor,"CD19, EBF1, IL7R, MME, RAG1",Lymphoid_Haem
pre-B cell/B,LTB,Lymphoid_Haem
pre_pro_B,"IL7R, RAG1, ZCCHC7",Lymphoid_Haem
pro B progenitor,"DNTT, MME, RAG1, VPREB1",Lymphoid_Haem
pro-B cell,"CD19, IGKC, MS4A1, TCL1A",Lymphoid_Haem
pro-b,"DNTT, IGLL1, MME",Lymphoid_Haem
INTERSTITIAL CELLS OF CAJAL,"ETV1, KIT",Mesenchymal cells
MESOTHELIUM,"LRRN4, UPK3B",Mesenchymal cells
MYOFIBROBLAST,ACTA2,Muscle
Mesoderm,"PRRX1, ZEB2",Mesenchymal cells
Mesothelium,"KRT19, PDPN, UPK3B",Mesenchymal cells
Pericyte,"CD248, FOXC2, NG2, PDGFRB, RGS5",Mesenchymal cells
Perivascular,"LAMA1, PDGFRA",Mesenchymal cells
VSMC/PERICYTE,"ACTA2, RGS5, TAGLN",Mesenchymal cells
VSMC_PERICYTE_III,"PDGFRA, RGS5, TAGLN",Mesenchymal cells
intermediate mesoderm gonadomesenephros,"LBX2, OSR1, PAX8, WT1",Mesenchymal cells
lateral plate mesoderm,"LHX9, MSX1, MSX2, PITX1, PRRX1, PRRX2, TBX2, TBX3",Mesenchymal cells
limb mesenchyme,"ALX4, GSC, HIC1, IRX3, OBSCN",Mesenchymal cells
mesothelial epicardium,"ALDH1A2, ITLN1, LRP2, TBX18",Mesenchymal cells
myofibroblast,"COL3A1, DES, MAF, NEAT1, OBSCN, PDGFRA, PDLIM4",Muscle
MUSCLE SATELLITE CELLS,"MYF5, MYOD1, PAX7",Muscle
SKELETAL MUSCLE,"ACTA1, MYL1, TNNT3",Muscle
atrial cardiomyocyte,"MYL4, MYL7, NPPA",Muscle
atrioventricular pacemaker,"CACNA1D, MSX2, TBX3",Muscle
hypaxial skeletal myoblast,"LBX1, MYOD1, PAX7",Muscle
muscle,"ACTA2, DSTN, SPARCL1, TPM2",Muscle
muscle stem cell,"ACTA2, DSTN, SPARCL1, TPM2",Muscle
skeletal myoblast,"MYF5, PAX7, TTN",Muscle
skeletal myocyte,"MYH3, MYOG",Muscle
ventricular cardiomyocyte,"FHL2, MYH7, MYL2",Muscle
ASDC,"AXL, SIGLEC6",Myeloid_Haem
CD14 monocyte,"CD14, CD300E, S100A8, VCAN",Myeloid_Haem
Canonical haemoglobins,"HBA1, HBA2, HBB, HBG1, HBG2",Myeloid_Haem
DC pre.,"CD1C, S100A9",Myeloid_Haem
DC precursor,"CD1C, CD34, CLEC10A, IRF8",Myeloid_Haem
DC1,"BATF3, CADM1, CLEC9A, XCR1",Myeloid_Haem
DC2,"CD1C, CLEC10A, FCER1A, HLA-DPB1",Myeloid_Haem
DC3,"CD163, CD1C, CD36, CLEC10A, CSF3R, S100A12, S100A8",Myeloid_Haem
DC_progenitor,"ACY3, KIF17, TIFAB",Myeloid_Haem
EO_BASO_MAST,"CLC, KIT, TPSAB1",Myeloid_Haem
Gran/mast/DC,"CLEC9A, HAVCR2, HLA-DRA, IL3RA, IL5RA, KIT, MSR1",Myeloid_Haem
Granulocyte pre.,"CLC, GATA2, MPO",Myeloid_Haem
LANGERHANS_CELLS,"CD1A, CD207, IDO1",Myeloid_Haem
MACROPHAGE_ERY,"C1QA, CD163",Myeloid_Haem
MAC_IRON_RECYCLING,"APOE, CD5L, VCAM1",Myeloid_Haem
MAC_KUPFFER_LIKE,"CAV1, ENG, KDR",Myeloid_Haem
MAC_LYVE1_HIGH,"F13A1, LYVE1, SPP1",Myeloid_Haem
MAC_MHCII_HIGH,"CLEC7A, HLA-DPA1, HLA-DRA",Myeloid_Haem
MAC_PROLIFERATING,"MKI67, TOP2A",Myeloid_Haem
MAC_TLF+,"FOLR2, LYVE1, TIMD4",Myeloid_Haem
MAC_TREM2,"P2RY12, TREM2",Myeloid_Haem
MIGRATORY_DC,"CCR7, LAMP3",Myeloid_Haem
MNP,"FGL2, HLA-DPA1, HLA-DQA1",Myeloid_Haem
MOP,"IRF8, LYZ, PRTN3, S100A8",Myeloid_Haem
MPP myeloid,"CD34, CSF1R, GATA2, MPO, SPINK2",Myeloid_Haem
Mac.erythroid,"BLVRB, GLUL, HLA-DRA",Myeloid_Haem
Mac.monocytoid,"CD14, CD52, CD74, HLA-DPB1, LYZ, S100A8",Myeloid_Haem
Mac.stromal,"CD163, FOLR2, HMOX1, MNDA",Myeloid_Haem
Mac_signature,"C1QA, C1QB, C1QC, CD14, CD68",Myeloid_Haem
Macrophage,"C1QA, CD14, CD4, CD68, LYVE1, MRC1, SIGLEC1",Myeloid_Haem
Mast,"CPA3, KIT, TPSAB1, TPSB2",Myeloid_Haem
Mast Cell,"KIT, TPSAB1",Myeloid_Haem
Mono pre.,S100A9,Myeloid_Haem
Mono-mac,"C1QA, CD4, FCGR3A",Myeloid_Haem
Monocyte,"CCL4, CD14, FCGR3A, HLA-DRA, LYZ",Myeloid_Haem
Monocyte_lineage,"CCR2, CD14, CD300E, CD52, CXCR4, IL1B, LYZ, MS4A6A, S100A8",Myeloid_Haem
Monocytes,"CD14, CD1C, CD34, CD52, CD96, CLEC4C",Myeloid_Haem
Myeloid lineage,"CEBPA, CSF1R, MPO",Myeloid_Haem
Myeloid_progenitor,"AZU1, PRSS57, PRTN3",Myeloid_Haem
Neut_myeloid_pro.,"LYZ, MPO, SERPINB1",Myeloid_Haem
Neutrophil lineage,"DEFA4, ELANE, LCN2, LTF, ORM1",Myeloid_Haem
PERIVASCULAR MACROPHAGE,"C1QA, LYVE1, RNASE1",Myeloid_Haem
SMOOTH MUSCLE,"ACTA2, DES, MYH11, TAGLN",Myeloid_Haem
Smooth Muscle,"ACTA2, ITGA1, MCAM",Myeloid_Haem
TREM2 Mac.,"CX3CR1, P2RY12, TREM2",Myeloid_Haem
basophil,"CLC, HDC, IL3RA, IL5RA",Myeloid_Haem
eo/baso/mast precursor,"CD34, CSF2RB, HDC, SPINK2",Myeloid_Haem
eosinophil,"CLC, EPX, HDC, IL5RA",Myeloid_Haem
er_master_tfs,"GATA1, GATA2, KLF1, LDB1, LMO2, TAL1, TCF3",Myeloid_Haem
erythroid macrophage,"APOE, BLVRB, CD14, F13A1",Myeloid_Haem
macrophage,"C1QA, CD14, CD4",Myeloid_Haem
mast cell,"HDC, HPGDS, KIT, TPSAB1",Myeloid_Haem
megakaryocyte erythroid mast progenitor,"CD34, CTNNBL1, GATA1, GATA2, TESPA1",Myeloid_Haem
monocyte,"FCGR3A, HLA-DRA, LYZ",Myeloid_Haem
monocyte-DC,"BATF3, BTLA, CD1C, CLEC10A, CLEC9A, CSF3R, FCGR3A, HLA-DRA, LYZ, S100A12",Myeloid_Haem
monocytoid macrophage,"CD14, HLA-DRA, S100A8, SPP1",Myeloid_Haem
motor neuron,"ISL1, MNX1",Myeloid_Haem
myeloid DC progenitor,"CD1C, CD34, CLEC10A, IRF8",Myeloid_Haem
myeloid progenitor,"AZU1, CD34, CTSG, PRSS57, PRTN3",Myeloid_Haem
neutrophil,"ITGAM, MMP9, ORM1, PGLYRP1",Myeloid_Haem
pDC,"CLEC4C, GZMB, IRF7, JCHAIN, SERPINF1",Myeloid_Haem
pDC pre.,"CLEC9A, IL3RA",Myeloid_Haem
pDC progenitor,"CD34, GZMB, IRF8, JCHAIN",Myeloid_Haem
primordial germ cell,"DND1, DPPA3, NANOG, NANOS3, POU5F1",Myeloid_Haem
promonocyte,"CD14, CD300E, FCN, S100A8, VCAN",Myeloid_Haem
stromal macrophage,"APOE, C1QC, CD14, F13A1, SPP1",Myeloid_Haem
tDC,"AXL, CD22, SIGLEC6",Myeloid_Haem
vascular smooth muscle,"FOXC2, MYL9, PRDM6, TAGLN, TBX1",Myeloid_Haem
ysDC,"CD1C, CLEC10A, LTBR",Myeloid_Haem
ASTRO.,"APOE, AQP4, CX3CR1, SPARCL1, VWF",Neural
Arachnoid,"ALDH1A2, CRABP2",Neural
Arachnoid Barrier,"ABCB1, CDH1, CLDN11, SLC22A6, SLC22A8",Neural
CNS-Neuron,ELAVL3,Neural
CNS-Prog,SOX2,Neural
DA1 neuron,"LHX2, LHX9",Neural
DA3 neuron,"LBX1, LMX1B, TLX3",Neural
DL1 neuron,"BARHL1, BARHL2",Neural
DL2 neuron,TLX3,Neural
DL3 neuron,OTP,Neural
DL5 neuron,"ASCL1, LMX1B",Neural
DL6 neuron,DMRT3,Neural
Dura,"DKK2, SFRP1",Neural
ELAVL4+ neuron,"ELAVL4, INA, TUBB3",Neural
ELAVL4+ neuron cortical,"ELAVL4, FOXG1, INA, TUBB3",Neural
ELAVL4+ neuron midbrain,"ELAVL4, INA, OTX2, TUBB3",Neural
EPENDYMAL,FOXJ1,Neural
GLIAL CELL,"SOX10, SOX2",Neural
Glia,NFIA,Neural
Glioblast,"BCAN, TNC",Neural
Immature Neuron,INA,Neural
LPM,"COL1A1, LUM",Neural
Microglia,"AIF1, CCL3, P2RY12, TMEM119, TREM2",Neural
NEURON,"ELAVL3, STMN4, TUBB2B",Neural
NEURON_DOP.,"ALDH1A1, CALB1, DDC, EN1, KCNJ6, LMO3APP, NETO2, PITX3, SLC18A2, SLC6A3, TH, TMCC3",Neural
NEURON_EXC.,"EMX1, FEZF2, LINC00507, RORB, SLC17A6, SLC17A7, THEMIS, VIP",Neural
NEURON_INH.,"ADARB2, CCK, GAD1, GAD2, LAMP5, PAX6, PVALB, RELN, SNCG, SST",Neural
NEURON_SERT.,"CALB1, CHGB, FEV, GATA3, SLC18A2, SLC6A4, TPH2",Neural
Neural Crest,"SOX10, WNT1",Neural
Neuroblast,"NEUROD1, NEUROD4, NEUROD6, NEUROG2, NHLH1, NHLH2, NRXN3",Neural
Neuroblast_Mediolateral1,"FOXD2, FOXD2-AS1, NKX6-2, ONECUT2, PCSK1",Neural
Neuroblast_Mediolateral5,"LHX5-AS1, SIX3-AS1, WNT11",Neural
Neuron (broad),"BCL11B, DCX, ELAVL3, MAP2, RBFOX3, SNAP25, STMN2, STMN4, TUBB2B",Neural
OLIGODENDROCYTE/OPC,"APOD, MBP, MOBP, NKX2-2, OLIG1, OLIG2, PCDH15, PDGFRA, SOX10",Neural
OPC,"OLIG1, OLIG2, PDGFRA, SOX10",Neural
Oligodendrocytes,"PDGFRA, S100B, SOX10, SOX9",Neural
PNS-Neuron,SIX1,Neural
PNS-Prog,SOX10,Neural
Pia,"NGFR, S100A6",Neural
Radial Glia,"HES2, NES, SOX10, SOX2",Neural
V0 interneuron,"EVX1, EVX2, LHX1, LHX5, PAX2",Neural
V1 interneuron,"EN1, LHX1, LHX5, PAX2",Neural
V2A-B interneuron,"GATA2, GATA3, LHX3, SOX14, VSX2",Neural
V3 interneuron,"NKX2-2, SIM1",Neural
dopaminergic neuron,"CALB1, DDC, KCNJ6, SLC18A2, SLC6A3, TH",Neural
dopaminergic neuron hindbrain,"CALB1, DDC, KCNJ6, PAX6, SLC18A2, SLC6A3, TH",Neural
dopaminergic neuron midbrain,"CALB1, DDC, KCNJ6, OTX2, SLC18A2, SLC6A3, TH",Neural
enteric neuron,VIP,Neural
ependymal glia,FOXJ1,Neural
ependymal glia midbrain,"FOXJ1, OTX2",Neural
excitatory neuron,"EMX1, FEZF2, LINC00507, SLC17A6, SLC17A7, THEMIS",Neural
excitatory neuron cortical,"BCL11B, EMX2, FOXG1, SATB2, SLC17A7, TBR1",Neural
excitatory neuron hindbrain,"EMX1, FEZF2, LINC00507, PAX6, SLC17A6, SLC17A7, THEMIS",Neural
excitatory neuron midbrain,"EMX1, FEZF2, LINC00507, OTX2, SLC17A6, SLC17A7, THEMIS",Neural
floor plate,"FOXA2, SHH",Neural
inhibitory neuron cortical,"ADARB2, FOXG1, GAD1, GAD2, LAMP5, RELN, SNCG",Neural
inhibitory neuron hindbrain,"ADARB2, GAD1, GAD2, GBX2, LAMP5, RELN, SNCG",Neural
inhibitory neuron midbrain,"OTX2, PCOLCE2, SGK2",Neural
microglia,"CX3CR1, P2RY12, TREM2",Neural
pharyngeal arch 1 neural crest,"DLX1, DLX2, DLX3, DLX4, DLX5, DLX6",Neural
pharyngeal arch 2 neural crest,"DLX1, DLX2, DLX3, DLX4, DLX5, DLX6, HOXA2, HOXB2",Neural
proprioceptive neuron,"HMX1, HMX2",Neural
radial glia,"MKI67, NES, SOX2",Neural
radial glia cortical,"EMX2, FOXG1, MKI67, NES, PAX6, SOX2",Neural
radial glia diencephalon,"MKI67, NES, PAX6, SOX2, WNT2B",Neural
radial glia hindbrain,"MKI67, NES, PAX6, SOX2",Neural
radial glia mid-hindbrain boundary,"FGF18, MKI67, NES, SOX2, SPRY1, SPRY2",Neural
radial glia midbrain,"EN1, MKI67, NES, OTX2, SOX2",Neural
roof plate,"GDF7, LMX1A, WNT1, WNT3A",Neural
schwann cells,"APLP1, CLDN11, CNP, MAG",Neural
serotenergic neuron,"CHGB, FEV, GATA3, SLC6A4, TPH2",Neural
sympathetic neuron,"CHGA, DBH, PHOX2B, TLX2",Neural
OSTEOBLAST,"IBSP, IFITM5, PHOSPHO1",Osteoblast
early osteoblast,"BGLAP, CPE, IBSP, IFITM5, OMD",Osteoblast
osteoblast,"BGLAP, CPE, IBSP, IFITM5, OMD",Osteoblast
OSTEOCLAST,"ACP5, MMP9",Osteoclast_Haem
Osteoclast,"ACP5, ANPEP, CD68, CTSK, FTL, MMP9, SIGLEC15",Osteoclast_Haem
osteoclast,"ACP5, CTSK, MMP9",Osteoclast_Haem
CMP,"CD34, CTSG, FLT3, MPO, PRTN3, SPINK2",Progenitor_Haem
ERY/MK,"EPCAM, GYPA, GYPB, ITGA2B, ITGB3, ITGBAB, PTPRC",Progenitor_Haem
Early Progenitor,"CD34, MLLT3, SPINK2",Progenitor_Haem
GMP,"AZU1, CALR, CD34, ELANE, MPO, PRSS57, PRTN3",Progenitor_Haem
HSC,"CD34, CRHBP, ESAM, KIT, SLAMF1, SPINK2",Progenitor_Haem
HSC/MPP,"CD34, HLF, MLLT3, PRSS57, SPINK2",Progenitor_Haem
HSC/MPP.,"CD34, HLA-DRA, SPINK2",Progenitor_Haem
HSC_Enriched,"ALDH1A1, ANGPT1, C2ORF88, CCDC173, CD82, CXCL3, CYTL1, GATA2, GBP4, GFI1, GMPR, GP9, HOPX, ITGA2B, ITGA4, KCNK17, MYB, NRGN, PDLIM1, PRSS57, RAB27B, SELP, SMIM24, STAT5A, SVOPL, TMEM163, ZBTB16",Progenitor_Haem
HSC_MPP,"CD34, CLEC9A, HLF, SPINK2",Progenitor_Haem
HSC_Signature,"HLF, HOXA9, MECOM, MLLT3, RUNX1, SPINK2",Progenitor_Haem
HSC_shared_Endo,"CALCRL, CD34, CDH5, ECSCR.1, EMCN, ESAM, PECAM1, PROCR, TIE1",Progenitor_Haem
HSPCs&Prog.,"CD34, PRSS57, SPINK2",Progenitor_Haem
LMPP,"BCL11A, CD34, IL2RG, IL7R, SPINK2",Progenitor_Haem
MEMP,"CD34, CTNNBL1, FCER1A, GATA1, GATA2, ITGA2B, SERPINB1, TESPA1",Progenitor_Haem
MLP,"BCL11A, IL2RG, IL7R",Progenitor_Haem
MPP2/MyE,"CD48, SLAMF1",Progenitor_Haem
MPP3/4/CMP,CD48,Progenitor_Haem
Megakaryocyte Erythroid Precursors,"FCER1A, GATA2, TESPA1",Progenitor_Haem
NEUROG1+ neural progenitor,NEUROG1,Neural
NEUROG1+ neural progenitor midbrain,"NEUROG1, OTX2",Neural
Neural progenitors,"NKX2-2, OLIG2",Neural
Neural_Progenitor,"HMGA1, HMGB2, NEUROG1, TFDP2",Neural
auditory vesicle neural progenitors,"BRICD5, DLX5, GATA3, LMX1A, OC90, PLPP2, S100A1, WFDC2",Neural
chondrocyte precursor,"GDF5, PRDM16",Chondrocyte
dermal fibroblast precursor,"EN1, OSR1, PAX3, SIM1, TWIST2",Fibroblast
glial progenitor,"BCAN, TNC",Neural
haeamatopoietic stem and progenitor cell,"HOPX, MLLT3, SPINK2",Progenitor_Haem
intermediate neural progenitor,"EOMES, PPP1R17",Neural
intermediate neural progenitor cortical,"EMX2, EOMES, FOXG1, PPP1R17",Neural
limb chondrocyte precursor,"CNMD, HOXA10, PITX1, SHOX, SHOX2, SOX6, SOX9, TBX4",Chondrocyte
limb digit chondrocyte precursor,"HAND2, HOXA13, HOXD13, SALL1, SOX9, TBX5",Chondrocyte
odontoblast precursor,"DKK1, ETV4, FRMD5, NOTUM, PDPN, RUNX2",Mesenchymal cells
oligodendrocyte precursor,"DLL3, EGFR, OLIG1, OLIG2, SOX2",Neural 
oligodendrocyte precursor cortical,"DLL3, EGFR, EMX2, FOXG1, OLIG1, OLIG2, PAX6, SOX2",Neural 
oligodendrocyte precursor hindbrain,"DLL3, EGFR, OLIG1, OLIG2, PAX6, SOX2",Progenitor_Haem
oligodendrocyte precursor midbrain,"DLL3, EGFR, OLIG1, OLIG2, OTX2, SOX2",Neural 
osteoblast precursor,"BGLAP, CPE, DLX5, IBSP, IFITM5, OMD, RUNX2",Osteoblast
osteochondral precursor,"CD44, ENG, NT5E, THY1",Osteoblast
p2 neural progenitor,"FOXN4, NKX6-1, VSX1",Neural
pA1 neural progenitor,"ATOH1, OLIG3",Neural
pA2 neural progenitor,"NEUROG1, OLIG3",Neural
pA3-4 neural progenitor,"OLIG3, PTF1A",Neural
pMNv neural progenitor,"NKX2-2, NKX6-1",Neural
pre B progenitor,"CD19, IGHD, IGHM, PAX5",Lymphoid_Haem
retinal neural progenitors,"ALDH1A1, CCL2, CLDN1, DAPL1, OPTC, PAX6, RAX, SIX3, SIX6, VSX2",Neural
schwann cell precursor,"FOXD3, MPZ, PLP1, SOX10",Neural
skeletal muscle progenitor,"ACTC1, MSC, MYOD1, PAX3, PAX7, TNNT1",Muscle
tendon progenitor,"MEOX2, OSR2, SCX",Mesenchymal cells
B,"CD19, CD79A, MS4A1",Lymphoid_Haem
B_lymphopoiesis.,"CD24, IL7R, PTPRC, SPN",Lymphoid_Haem
CAMs,"CD163, LYVE1, MRC1, MS4A1, SIGLEC1, STAB1",Myeloid_Haem
Diencephalon,"FGF8, SHH, WNT2B",Neural
ELP,"FLT3, IL7R, LTB, RAG1, RUNX2",Progenitor_Haem
ERY,HBB,Erythroid
Early ERY,"GATA1, KLF1",Erythroid
Early L/TL,CD8A,Lymphoid_Haem
Early_ERY,"APOE, FAM178B, KLF1",Erythroid
Early_MK,"HBD, PF4",MK
Floorplate,"CDH7, CDHR3, PAX7, PIFO, RRAD, TXLNB",Mesenchymal cells
GluN,"BCL11B, NEUROD2, SATB2, SLC17A7",Neural
