cluster,label,n_drivers,drivers_top20
14,Muscle,15,"MYH3, TTN, MYL1, ACTC1, ACTA1, MYH7, TNNT3, MYL4, TNNT1, COL3A1, MYL2, TPM2, DES, MYOG, SPARCL1"
15,Fibroblast,13,"EPHA7, SLC1A3, CLDN11, COL3A1, ALDH1A2, BGN, SERPINF1, FRZB, UNC5C, SLC6A1, ACTG2, MECOM, TWIST2"
16,Fibroblast,6,"COL3A1, MEOX2, SERPINF1, ALDH1A2, EPHA7, TWIST2"
17,Muscle,11,"TTN, MYH3, MYL1, COL3A1, ACTC1, ACTA1, TNNT3, MYH7, MYL2, MYL4, TNNT1"
18,Chondrocyte,10,"COL9A3, GDF5, SOX9, PITX1, CNMD, SOX6, COL9A1, HAPLN1, SHOX, CSPG4"
19,Lymphoid_Haem,24,"IGHM, TCL1A, CD79B, HLA-DRA, IGKC, CD38, VPREB3, CD79A, PAX5, MS4A1, CD69, IKZF3, PTPRC, RAG1, JCHAIN, LTB, VPREB1, IGLL1, MME, TRAC"
2,Fibroblast,10,"CDH9, EPHA7, ALDH1A2, MECOM, UNC5C, PAX3, COL3A1, SLC1A3, TWIST2, CLDN11"
20,Myeloid_Haem,12,"SERPINF1, PRDM6, SPP1, MME, HBG2, HBG1, MMP9, HBA2, VCAM1, HBB, HBA1, CD96"
21,Fibroblast,8,"MECOM, TWIST2, MEOX2, EPHA7, FRZB, SERPINF1, ALDH1A2, UNC5C"
22,Myeloid_Haem,9,"HBG2, HBA2, HBA1, HBG1, HBB, DES, CCL4, RNASE1, APOE"
23,Lymphoid_Haem,33,"DNTT, VPREB1, IGLL1, VPREB3, HLA-DRA, CD79B, RAG1, LTB, CD79A, CD38, IGHM, PAX5, IL7R, JCHAIN, GZMK, LST1, MME, CD69, SPINK2, PRSS57"
24,Endothelial,20,"PECAM1, CDH5, PLVAP, KDR, ESAM, CLDN5, GPIHBP1, PODXL, IL33, ENG, PRND, RAMP2, GJA5, STAB1, LYVE1, NTS, TFF3, SLC2A1, ITM2A, MRC1"
25,Fibroblast,8,"EPHA7, MECOM, MEOX2, CDH9, UNC5C, ALDH1A2, TWIST2, FRZB"
26,Myeloid_Haem,13,"PRDM6, SERPINF1, MME, TAGLN, HBG2, HBG1, HBA2, HBA1, MYL9, HBB, APOE, VCAM1, FGL2"
27,Myeloid_Haem,29,"HBG2, HBA2, HBA1, HBB, APOE, HBG1, ACTA2, TAGLN, CCL4, CAV1, ISL1, GATA2, RNASE1, C1QA, DES, C1QB, MMP9, IL1B, C1QC, MYH11"
28,Progenitor_Haem,6,"RUNX2, CALCRL, ANGPT1, MECOM, RAB27B, EMCN"
29,Myeloid_Haem,11,"ITGA1, ACTA2, MYH11, APOE, TAGLN, CAV1, MYL9, FGL2, VCAM1, SPP1, BLVRB"
3,Muscle,13,"PAX7, SPARCL1, TNNT1, DES, TPM2, ACTA2, COL3A1, MYL2, ACTC1, PAX3, ACTA1, TNNT3, MYL1"
30,Myeloid_Haem,53,"C1QC, C1QA, C1QB, MRC1, FOLR2, TREM2, CD163, F13A1, RNASE1, LYVE1, CD14, TIMD4, CSF1R, HPGDS, STAB1, SPP1, MS4A6A, HMOX1, CX3CR1, CD68"
31,Chondrocyte,8,"COL9A3, SOX9, HAPLN1, CNMD, CSPG4, SOX6, COL9A1, GDF5"
32,Myeloid_Haem,14,"APOE, ACTA2, TAGLN, VCAM1, ITGA1, MYH11, MYL9, SERPINF1, PRDM6, CAV1, KIT, BLVRB, ENG, IRF8"
33,Myeloid_Haem,13,"ACTA2, ITGA1, MYH11, TAGLN, CAV1, MYL9, APOE, VCAM1, CD36, CSF1R, KIT, ENG, PRDM6"
34,Fibroblast,5,"MECOM, UNC5C, EPHA7, SLC1A3, MEOX2"
35,Muscle,17,"PAX7, SPARCL1, TNNT1, MYOG, COL3A1, ACTC1, DES, PAX3, TPM2, ACTA2, MYL4, TTN, ACTA1, NEAT1, TNNT3, MYL1, MYH3"
36,Muscle,14,"TTN, MYH3, ACTC1, MYL1, COL3A1, ACTA1, MYL4, TNNT3, MYH7, TNNT1, SPARCL1, MYOG, DES, TPM2"
37,Chondrocyte,9,"SHOX, PITX1, COL9A3, GDF5, COL9A1, SOX9, CNMD, SOX6, HAPLN1"
38,Myeloid_Haem,52,"S100A9, S100A8, HBG2, PRTN3, CAMP, LYZ, HBG1, HBA2, CCL4, DEFA4, AZU1, CLC, LTF, TPSB2, LCN2, HBA1, ELANE, MPO, IL1B, HBB"
39,Myeloid_Haem,52,"LYZ, MPO, AZU1, PRTN3, CTSG, PLAC8, S100A8, S100A9, MNDA, PRSS57, CD74, CSF3R, SERPINB1, ITGB2, SPINK2, MS4A6A, ELANE, HLA-DRA, DEFA4, SELL"
4,Chondrocyte,9,"COL9A1, HAPLN1, SOX6, CNMD, COL9A3, CSPG4, SOX9, SHOX, GDF5"
40,Myeloid_Haem,9,"SERPINF1, APOE, HBG2, HBG1, TAGLN, HBA2, HBB, HBA1, SPP1"
41,Muscle,11,"PAX7, TNNT1, PAX3, TPM2, DES, MYOG, ACTC1, SPARCL1, ACTA2, MYL4, MYL1"
42,Fibroblast,8,"TWIST2, CLDN11, SERPINF1, COL3A1, ALDH1A2, CDH9, SLC1A3, EPHA7"
43,Progenitor_Haem,3,"RUNX2, CALCRL, MECOM"
44,Muscle,16,"TTN, MYH3, ACTC1, MYL1, TNNT3, ACTA1, MYH7, DES, MYL4, MYOG, TNNT1, MYL2, TPM2, ACTA2, PAX7, NEAT1"
45,Fibroblast,7,"TWIST2, CLDN11, SLC1A3, COL3A1, ALDH1A2, PAX3, EPHA7"
46,Osteoblast,7,"IBSP, IFITM5, PHOSPHO1, RUNX2, OMD, BGLAP, ENG"
47,Erythroid,25,"KLF1, GYPB, ALAS2, GATA1, HEMGN, SLC4A1, GYPA, BLVRB, HBG1, HBB, FAM178B, HBA1, HBA2, CD36, SLC25A37, HBZ, TFRC, HBD, TRIM58, BSG"
48,Chondrocyte,7,"SOX6, COL9A1, HAPLN1, SOX9, SHOX, COL9A3, CSPG4"
49,Muscle,14,"MYOG, ACTC1, MYL4, DES, TPM2, TNNT1, TTN, PAX7, ACTA1, TNNT3, ACTA2, MYL1, MYH3, PAX3"
5,Progenitor_Haem,5,"RUNX2, RAB27B, RUNX1, ANGPT1, ITGA4"
50,Fibroblast,6,"MEOX2, EPHA7, COL3A1, SLC1A3, BGN, SERPINF1"
51,Epidermis,9,"KRT15, IL36RN, KRT5, KRT19, TP63, MUC16, KRT8, KRT18, KRT14"
52,Lymphoid_Haem,31,"CD69, IGHM, CD3D, IGKC, IL7R, TRAC, MS4A1, HLA-DRA, LTB, IKZF3, PTPRC, CD79B, VPREB3, PAX5, CD38, CD7, CD79A, TCL1A, VPREB1, KLRB1"
53,Fibroblast,4,"ALDH1A2, EPHA7, MEOX2, COL3A1"
54,Chondrocyte,8,"COL9A3, COL9A1, CNMD, HAPLN1, CSPG4, SOX9, SOX6, GDF5"
55,Epidermis,2,"KRT18, KRT8"
56,Chondrocyte,8,"GDF5, SOX6, CSPG4, SOX9, COL9A3, HAPLN1, PITX1, CNMD"
57,Epithelial,5,"ISL1, ONECUT2, KRT19, TRPM3, TPPP3"
58,Lymphoid_Haem,5,"LHX1, PAX2, PAX5, DHFR, KIT"
59,Myeloid_Haem,27,"S100A8, CAMP, LCN2, LTF, CEACAM8, S100A9, DEFA4, PGLYRP1, LYZ, ELANE, AZU1, MPO, PRTN3, MNDA, CTSG, S100A12, CSF3R, ORM1, ITGAM, PRSS57"
6,Chondrocyte,10,"CNMD, COL9A3, COL9A1, HAPLN1, SOX9, SOX6, CSPG4, SHOX, PITX1, GDF5"
60,Myeloid_Haem,45,"MRC1, F13A1, CD163, LYVE1, C1QA, RNASE1, FOLR2, C1QB, C1QC, STAB1, HPGDS, SPP1, TIMD4, CSF1R, CD14, MS4A6A, CD36, HMOX1, IL1B, CCL4"
61,Epithelial,5,"TRPM3, APOA1, FXYD3, DCT, TPPP3"
62,Erythroid,27,"HBB, ALAS2, GYPB, SLC4A1, HEMGN, KLF1, SLC25A37, TRIM58, HBZ, BLVRB, HBG1, GATA1, BPGM, IFIT1B, TMCC2, HBA1, ARL4A, HBA2, BSG, GYPA"
63,Epithelial,5,"ALB, AFP, ISL1, APOA1, TRPM3"
64,Chondrocyte,7,"COL9A1, HAPLN1, CNMD, COL9A3, SOX6, SOX9, CSPG4"
65,Fibroblast,13,"SLC6A1, SLC6A13, CLDN11, SLC1A3, ACTG2, EPHA7, FRZB, UNC5C, ALDH1A2, BGN, SERPINF1, COL3A1, TWIST2"
66,Myeloid_Haem,51,"S100A9, S100A8, LYZ, S100A12, MNDA, MPO, LCN2, CSF3R, CAMP, LTF, AZU1, PRTN3, DEFA4, PGLYRP1, SELL, CEACAM8, CTSG, ORM1, CD74, HLA-DRA"
67,Erythroid,26,"HBA1, HBA2, HBG1, SLC4A1, HBB, ALAS2, GYPA, HEMGN, GYPB, SLC25A37, TMCC2, TRIM58, KLF1, BLVRB, TFRC, BPGM, CD36, IFIT1B, GATA1, XPO7"
68,Erythroid,8,"APOE, TRIM58, BSG, ARL6IP1, BNIP3L, MKRN1, ARL4A, BPGM"
69,Fibroblast,6,"SLC1A3, COL3A1, MEOX2, TWIST2, CDH9, EPHA7"
7,Fibroblast,10,"BGN, MECOM, MEOX2, SERPINF1, FRZB, SLC1A3, UNC5C, COL3A1, EPHA7, TWIST2"
70,Lymphoid_Haem,32,"IGLL1, TCL1A, IGHM, VPREB3, CD79B, VPREB1, CD79A, HLA-DRA, CD38, PAX5, IGKC, JCHAIN, IL7R, MS4A1, MKI67, IKZF3, MME, TOP2A, PTPRC, TRAC"
71,Fibroblast,10,"MEOX2, COL3A1, SLC6A13, CLDN11, SLC6A1, TWIST2, SLC1A3, SERPINF1, BGN, FRZB"
72,Lymphoid_Haem,27,"PRF1, GZMH, XCL2, CD3D, XCL1, KLRB1, GZMB, CD7, GNLY, GZMK, PTPRC, IL7R, CCL5, TRAC, CD69, NKG7, LTB, IKZF3, IL32, FCGR3A"
73,Myeloid_Haem,12,"ISL1, MYL9, VCAM1, MSR1, GATA2, TAGLN, APOE, SERPINF1, PRDM6, BLVRB, MME, HLA-DPB1"
74,Endothelial,17,"CLDN5, PODXL, PECAM1, CDH5, KDR, ESAM, GPIHBP1, ENG, RAMP2, ALDH1A1, PLVAP, PRND, IL33, ITM2A, SLC2A1, STAB1, PROX1"
75,Mesenchymal cells,5,"LRP2, PIFO, FRMD5, PAX7, KIT"
76,Erythroid,25,"HBA2, HBA1, HBG1, HBB, SLC4A1, ALAS2, GYPA, HEMGN, SLC25A37, GYPB, KLF1, TRIM58, HBZ, TMCC2, BLVRB, GATA1, CD36, TFRC, BPGM, FAM178B"
77,Myeloid_Haem,12,"PRDM6, MME, SERPINF1, APOE, FGL2, TAGLN, VCAM1, MYL9, MYH11, MKI67, HBG2, TOP2A"
78,Muscle,8,"PAX7, PAX3, SPARCL1, DES, TNNT1, ACTC1, MYOG, TPM2"
79,Erythroid,21,"HBZ, HBA1, HBA2, HBG1, SLC4A1, GYPA, GYPB, ALAS2, KLF1, HEMGN, BLVRB, SLC25A37, GATA1, BPGM, TRIM58, HBD, CD36, ARL4A, TFRC, MKRN1"
8,Chondrocyte,8,"COL9A1, HAPLN1, SOX6, CNMD, COL9A3, SOX9, CSPG4, SHOX"
80,Epithelial,4,"APOA1, TRPM3, FXYD3, MITF"
81,Myeloid_Haem,27,"S100A8, S100A9, S100A12, PGLYRP1, ORM1, MNDA, CSF3R, MMP9, LYZ, FCGR3A, CAMP, LCN2, LTF, SELL, CXCR4, ITGAM, CLC, ITGB2, CEACAM8, IL1B"
82,Myeloid_Haem,51,"IL1B, CCL4, C1QB, C1QA, TREM2, C1QC, FCGR3A, SPP1, CX3CR1, RNASE1, HMOX1, CD14, FOLR2, CSF1R, HLA-DRA, MRC1, S100A9, HPGDS, CD74, MS4A6A"
83,Myeloid_Haem,20,"PRDM6, APOE, HBG1, HBG2, MME, HBA2, HBA1, KIT, TAGLN, HBB, ITGA1, FGL2, KDR, TOP2A, MKI67, MYL9, VCAM1, ENG, CD36, SERPINF1"
84,Lymphoid_Haem,35,"CD69, IGHM, HLA-DRA, IGKC, PTPRC, CD3D, IL7R, IKZF3, MS4A1, LTB, CD79B, TRAC, PAX5, VPREB3, CD38, TCL1A, CD79A, CD7, VPREB1, AREG"
85,Chondrocyte,10,"COL9A3, HAPLN1, COL9A1, CNMD, CSPG4, GDF5, SOX9, SHOX, SOX6, PITX1"
86,Epithelial,4,"ISL1, ONECUT2, TPPP3, TRPM3"
87,Muscle,14,"ACTC1, ACTA1, MYL1, TNNT3, DES, MYL4, TPM2, TNNT1, MYH3, MYOG, MYL2, MYH7, TTN, ACTA2"
88,Muscle,13,"MYH3, TTN, ACTC1, COL3A1, MYL1, ACTA1, MYH7, MYL2, TNNT3, DES, MYL4, SPARCL1, TNNT1"
89,Chondrocyte,7,"GDF5, SOX9, COL9A3, PITX1, SHOX, COL9A1, SOX6"
9,Fibroblast,8,"MEOX2, SERPINF1, FRZB, EPHA7, CDH9, ALDH1A2, TWIST2, MECOM"
90,Muscle,3,"PAX7, PAX3, SPARCL1"
91,Epithelial,3,"PAX2, ONECUT2, ISL1"
92,Progenitor_Haem,30,"GP9, FCER1A, ITGA2B, PLEK, GATA1, GATA2, RAB27B, NRGN, SERPINB1, PRSS57, ESAM, GMPR, CXCL3, PECAM1, ANGPT1, RUNX1, KLF1, TMEM163, ITGA4, TIE1"
93,Muscle,13,"TNNT1, PAX7, SPARCL1, MYOG, PAX3, ACTC1, DES, TPM2, ACTA1, MYL4, NEAT1, TNNT3, ACTA2"
94,Erythroid,23,"HBB, ALAS2, HBG1, GYPB, IFIT1B, TRIM58, HEMGN, SLC25A37, BPGM, BLVRB, HBZ, SLC4A1, HBA1, HBA2, MKRN1, BNIP3L, BSG, HBD, ARL4A, TMCC2"
95,Myeloid_Haem,35,"CLC, TPSAB1, CPA3, HDC, TPSB2, GATA2, HPGDS, EPX, PRSS57, FCER1A, CTSG, KIT, ITGAM, GATA1, IL1B, SERPINB1, CXCR4, ITGB2, SELL, SPINK2"
96,Erythroid,16,"HBA2, HBA1, HBG1, HBB, ALAS2, SLC4A1, HEMGN, GYPA, SLC25A37, GYPB, TRIM58, ARL4A, TMCC2, BPGM, BLVRB, ARL6IP1"
97,Endothelial,16,"NTS, TFF3, PROX1, LYVE1, CLDN5, KDR, PECAM1, CDH5, MRC1, RAMP2, PODXL, IL33, STAB1, ENG, PLVAP, ALDH1A1"
98,Myeloid_Haem,50,"CD74, GZMB, JCHAIN, PLAC8, HLA-DRA, IRF8, CLEC10A, HLA-DPA1, CD1C, SPIB, SELL, HLA-DPB1, ACY3, FCER1A, HLA-DQA1, CD68, ITGB2, SPINK2, CX3CR1, LYZ"
99,Erythroid,25,"HBA2, HBA1, HBG1, HBB, ALAS2, SLC4A1, HEMGN, GYPA, SLC25A37, GYPB, TRIM58, TMCC2, BLVRB, KLF1, APOE, FAM178B, BPGM, GATA1, CD36, TFRC"
