Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[embryo stage]	Characteristics[sex]	Characteristics[individual]	Characteristics[organism part]	Characteristics[sampling site]	Characteristics[immunophenotype]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Comment[cdna read]	Comment[cdna read offset]	Comment[cdna read size]	Comment[cell barcode offset]	Comment[cell barcode read]	Comment[cell barcode size]	Comment[end bias]	Comment[input molecule]	Comment[library construction]	Comment[primer]	Comment[sample barcode offset]	Comment[sample barcode read]	Comment[sample barcode size]	Comment[single cell isolation]	Comment[spike in]	Comment[umi barcode offset]	Comment[umi barcode read]	Comment[umi barcode size]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[BAM_URI]	Comment[read1 file]	Comment[FASTQ_URI]	Comment[read2 file]	Comment[FASTQ_URI]	Comment[index1 file]	Comment[FASTQ_URI]	Protocol REF	Derived Array Data File	Derived Array Data File	Derived Array Data File	Derived Array Data File	Factor Value[individual]	Factor Value[sampling site]	Factor Value[immunophenotype]
FCAImmP8096686	ERS6921435	SAMEA9196799	Homo sapiens	embryo stage	carnegie stage 18	male	F79	yolk sac	vitelline blood vessel	CD45+	cell	P-MTAB-110779	HDBR and Newcastle University	P-MTAB-110780	Newcastle University	P-MTAB-110781	Newcastle University	FCAImmP8096686	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	200	5'-3'-3'-5'	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index1	8	10x	none	16	read 1	10	P-MTAB-110782	Sanger Institute	FCAImmP8096686	sequencing assay	ERX5690879	FCAImmP8096686.bam	FCAImmP8096686.bam	ERR6051993	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR605/ERR6051993/FCAImmP8096686.bam	FCAImmP8096686_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096686_S1_L001_R1_001.fastq.gz	FCAImmP8096686_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096686_S1_L001_R2_001.fastq.gz	FCAImmP8096686_S1_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096686_S1_L001_I1_001.fastq.gz	P-MTAB-119014	YS_10x_counts.mtx.gz	YS_10x_genes.tsv.gz	YS_10x_barcodes.tsv.gz	YS_10x_core_metadata.csv	F79	vitelline blood vessel	CD45+
FCAImmP8096687	ERS6921436	SAMEA9196796	Homo sapiens	embryo stage	carnegie stage 18	male	F79	yolk sac	vitelline blood vessel	CD45-	cell	P-MTAB-110779	HDBR and Newcastle University	P-MTAB-110780	Newcastle University	P-MTAB-110781	Newcastle University	FCAImmP8096687	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	200	5'-3'-3'-5'	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index1	8	10x	none	16	read 1	10	P-MTAB-110782	Sanger Institute	FCAImmP8096687	sequencing assay	ERX5690880	FCAImmP8096687.bam	FCAImmP8096687.bam	ERR6051994	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR605/ERR6051994/FCAImmP8096687.bam	FCAImmP8096687_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096687_S1_L001_R1_001.fastq.gz	FCAImmP8096687_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096687_S1_L001_R2_001.fastq.gz	FCAImmP8096687_S1_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096687_S1_L001_I1_001.fastq.gz	P-MTAB-119014	YS_10x_counts.mtx.gz	YS_10x_genes.tsv.gz	YS_10x_barcodes.tsv.gz	YS_10x_core_metadata.csv	F79	vitelline blood vessel	CD45-
FCAImmP8096688	ERS6921437	SAMEA9196800	Homo sapiens	embryo stage	carnegie stage 18	male	F79	yolk sac	membrane	CD45+	cell	P-MTAB-110779	HDBR and Newcastle University	P-MTAB-110780	Newcastle University	P-MTAB-110781	Newcastle University	FCAImmP8096688	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	200	5'-3'-3'-5'	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index1	8	10x	none	16	read 1	10	P-MTAB-110782	Sanger Institute	FCAImmP8096688	sequencing assay	ERX5690881	FCAImmP8096688.bam	FCAImmP8096688.bam	ERR6051995	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR605/ERR6051995/FCAImmP8096688.bam	FCAImmP8096688_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096688_S1_L001_R1_001.fastq.gz	FCAImmP8096688_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096688_S1_L001_R2_001.fastq.gz	FCAImmP8096688_S1_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096688_S1_L001_I1_001.fastq.gz	P-MTAB-119014	YS_10x_counts.mtx.gz	YS_10x_genes.tsv.gz	YS_10x_barcodes.tsv.gz	YS_10x_core_metadata.csv	F79	membrane	CD45+
FCAImmP8096689	ERS6921438	SAMEA9196806	Homo sapiens	embryo stage	carnegie stage 18	male	F79	yolk sac	membrane	CD45-	cell	P-MTAB-110779	HDBR and Newcastle University	P-MTAB-110780	Newcastle University	P-MTAB-110781	Newcastle University	FCAImmP8096689	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	200	5'-3'-3'-5'	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index1	8	10x	none	16	read 1	10	P-MTAB-110782	Sanger Institute	FCAImmP8096689	sequencing assay	ERX5690882	FCAImmP8096689.bam	FCAImmP8096689.bam	ERR6051996	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR605/ERR6051996/FCAImmP8096689.bam	FCAImmP8096689_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096689_S1_L001_R1_001.fastq.gz	FCAImmP8096689_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096689_S1_L001_R2_001.fastq.gz	FCAImmP8096689_S1_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096689_S1_L001_I1_001.fastq.gz	P-MTAB-119014	YS_10x_counts.mtx.gz	YS_10x_genes.tsv.gz	YS_10x_barcodes.tsv.gz	YS_10x_core_metadata.csv	F79	membrane	CD45-
FCAImmP8096690	ERS6921439	SAMEA9196807	Homo sapiens	embryo stage	carnegie stage 18	male	F79	yolk sac	membrane	CD45-	cell	P-MTAB-110779	HDBR and Newcastle University	P-MTAB-110780	Newcastle University	P-MTAB-110781	Newcastle University	FCAImmP8096690	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	200	5'-3'-3'-5'	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index1	8	10x	none	16	read 1	10	P-MTAB-110782	Sanger Institute	FCAImmP8096690	sequencing assay	ERX5690883	FCAImmP8096690.bam	FCAImmP8096690.bam	ERR6051997	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR605/ERR6051997/FCAImmP8096690.bam	FCAImmP8096690_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096690_S1_L001_R1_001.fastq.gz	FCAImmP8096690_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096690_S1_L001_R2_001.fastq.gz	FCAImmP8096690_S1_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096690_S1_L001_I1_001.fastq.gz	P-MTAB-119014	YS_10x_counts.mtx.gz	YS_10x_genes.tsv.gz	YS_10x_barcodes.tsv.gz	YS_10x_core_metadata.csv	F79	membrane	CD45-
FCAImmP8096691	ERS6921440	SAMEA9196808	Homo sapiens	embryo stage	carnegie stage 18	male	F79	yolk sac	membrane	CD45-	cell	P-MTAB-110779	HDBR and Newcastle University	P-MTAB-110780	Newcastle University	P-MTAB-110781	Newcastle University	FCAImmP8096691	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	200	5'-3'-3'-5'	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index1	8	10x	none	16	read 1	10	P-MTAB-110782	Sanger Institute	FCAImmP8096691	sequencing assay	ERX5690884	FCAImmP8096691.bam	FCAImmP8096691.bam	ERR6051998	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR605/ERR6051998/FCAImmP8096691.bam	FCAImmP8096691_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096691_S1_L001_R1_001.fastq.gz	FCAImmP8096691_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096691_S1_L001_R2_001.fastq.gz	FCAImmP8096691_S1_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096691_S1_L001_I1_001.fastq.gz	P-MTAB-119014	YS_10x_counts.mtx.gz	YS_10x_genes.tsv.gz	YS_10x_barcodes.tsv.gz	YS_10x_core_metadata.csv	F79	membrane	CD45-
FCAImmP8096692	ERS6921441	SAMEA9196810	Homo sapiens	embryo stage	carnegie stage 18	male	F80	yolk sac	membrane	CD45+	cell	P-MTAB-110779	HDBR and Newcastle University	P-MTAB-110780	Newcastle University	P-MTAB-110781	Newcastle University	FCAImmP8096692	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	200	5'-3'-3'-5'	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index1	8	10x	none	16	read 1	10	P-MTAB-110782	Sanger Institute	FCAImmP8096692	sequencing assay	ERX5690885	FCAImmP8096692.bam	FCAImmP8096692.bam	ERR6051999	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR605/ERR6051999/FCAImmP8096692.bam	FCAImmP8096692_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096692_S1_L001_R1_001.fastq.gz	FCAImmP8096692_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096692_S1_L001_R2_001.fastq.gz	FCAImmP8096692_S1_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096692_S1_L001_I1_001.fastq.gz	P-MTAB-119014	YS_10x_counts.mtx.gz	YS_10x_genes.tsv.gz	YS_10x_barcodes.tsv.gz	YS_10x_core_metadata.csv	F80	membrane	CD45+
FCAImmP8096693	ERS6921442	SAMEA9196809	Homo sapiens	embryo stage	carnegie stage 18	male	F80	yolk sac	membrane	CD45+	cell	P-MTAB-110779	HDBR and Newcastle University	P-MTAB-110780	Newcastle University	P-MTAB-110781	Newcastle University	FCAImmP8096693	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	200	5'-3'-3'-5'	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index1	8	10x	none	16	read 1	10	P-MTAB-110782	Sanger Institute	FCAImmP8096693	sequencing assay	ERX5690886	FCAImmP8096693.bam	FCAImmP8096693.bam	ERR6052000	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR605/ERR6052000/FCAImmP8096693.bam	FCAImmP8096693_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096693_S1_L001_R1_001.fastq.gz	FCAImmP8096693_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096693_S1_L001_R2_001.fastq.gz	FCAImmP8096693_S1_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096693_S1_L001_I1_001.fastq.gz	P-MTAB-119014	YS_10x_counts.mtx.gz	YS_10x_genes.tsv.gz	YS_10x_barcodes.tsv.gz	YS_10x_core_metadata.csv	F80	membrane	CD45+
FCAImmP8096694	ERS6921443	SAMEA9196811	Homo sapiens	embryo stage	carnegie stage 18	male	F80	yolk sac	membrane	CD45-	cell	P-MTAB-110779	HDBR and Newcastle University	P-MTAB-110780	Newcastle University	P-MTAB-110781	Newcastle University	FCAImmP8096694	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	200	5'-3'-3'-5'	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index1	8	10x	none	16	read 1	10	P-MTAB-110782	Sanger Institute	FCAImmP8096694	sequencing assay	ERX5690887	FCAImmP8096694.bam	FCAImmP8096694.bam	ERR6052001	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR605/ERR6052001/FCAImmP8096694.bam	FCAImmP8096694_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096694_S1_L001_R1_001.fastq.gz	FCAImmP8096694_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096694_S1_L001_R2_001.fastq.gz	FCAImmP8096694_S1_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096694_S1_L001_I1_001.fastq.gz	P-MTAB-119014	YS_10x_counts.mtx.gz	YS_10x_genes.tsv.gz	YS_10x_barcodes.tsv.gz	YS_10x_core_metadata.csv	F80	membrane	CD45-
FCAImmP8096695	ERS6921444	SAMEA9196814	Homo sapiens	embryo stage	carnegie stage 18	male	F80	yolk sac	membrane	CD45-	cell	P-MTAB-110779	HDBR and Newcastle University	P-MTAB-110780	Newcastle University	P-MTAB-110781	Newcastle University	FCAImmP8096695	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	200	5'-3'-3'-5'	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index1	8	10x	none	16	read 1	10	P-MTAB-110782	Sanger Institute	FCAImmP8096695	sequencing assay	ERX5690888	FCAImmP8096695.bam	FCAImmP8096695.bam	ERR6052002	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR605/ERR6052002/FCAImmP8096695.bam	FCAImmP8096695_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096695_S1_L001_R1_001.fastq.gz	FCAImmP8096695_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096695_S1_L001_R2_001.fastq.gz	FCAImmP8096695_S1_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096695_S1_L001_I1_001.fastq.gz	P-MTAB-119014	YS_10x_counts.mtx.gz	YS_10x_genes.tsv.gz	YS_10x_barcodes.tsv.gz	YS_10x_core_metadata.csv	F80	membrane	CD45-
FCAImmP8096696	ERS6921445	SAMEA9196813	Homo sapiens	embryo stage	carnegie stage 18	male	F80	yolk sac	membrane	CD45-	cell	P-MTAB-110779	HDBR and Newcastle University	P-MTAB-110780	Newcastle University	P-MTAB-110781	Newcastle University	FCAImmP8096696	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	200	5'-3'-3'-5'	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index1	8	10x	none	16	read 1	10	P-MTAB-110782	Sanger Institute	FCAImmP8096696	sequencing assay	ERX5690889	FCAImmP8096696.bam	FCAImmP8096696.bam	ERR6052003	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR605/ERR6052003/FCAImmP8096696.bam	FCAImmP8096696_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096696_S1_L001_R1_001.fastq.gz	FCAImmP8096696_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096696_S1_L001_R2_001.fastq.gz	FCAImmP8096696_S1_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8096696_S1_L001_I1_001.fastq.gz	P-MTAB-119014	YS_10x_counts.mtx.gz	YS_10x_genes.tsv.gz	YS_10x_barcodes.tsv.gz	YS_10x_core_metadata.csv	F80	membrane	CD45-
FCAImmP8102304	ERS6921446	SAMEA9196812	Homo sapiens	embryo stage	carnegie stage 18	male	F79	yolk sac	vitelline blood vessel	CD45-	cell	P-MTAB-110779	HDBR and Newcastle University	P-MTAB-110780	Newcastle University	P-MTAB-110781	Newcastle University	FCAImmP8102304	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	500	200	5'-3'-3'-5'	read2	0	91	0	read1	16	3 prime tag	polyA RNA	10xV2	oligo-dT	0	index1	8	10x	none	16	read 1	10	P-MTAB-110782	Sanger Institute	FCAImmP8102304	sequencing assay	ERX5690890	FCAImmP8102304.bam	FCAImmP8102304.bam	ERR6052004	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR605/ERR6052004/FCAImmP8102304.bam	FCAImmP8102304_S1_L001_R1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8102304_S1_L001_R1_001.fastq.gz	FCAImmP8102304_S1_L001_R2_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8102304_S1_L001_R2_001.fastq.gz	FCAImmP8102304_S1_L001_I1_001.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10552/FCAImmP8102304_S1_L001_I1_001.fastq.gz	P-MTAB-119014	YS_10x_counts.mtx.gz	YS_10x_genes.tsv.gz	YS_10x_barcodes.tsv.gz	YS_10x_core_metadata.csv	F79	vitelline blood vessel	CD45-
