Source Name,Comment[ENA_SAMPLE],Comment[BioSD_SAMPLE],Characteristics[organism],Characteristics[age],Unit[time unit],Term Source REF,Term Accession Number,Characteristics[sex],Characteristics[individual],Characteristics[developmental stage],Characteristics[organism part],Characteristics[cell line],Characteristics[cell type],Characteristics[growth condition],Characteristics[immunophenotype],Material Type,Protocol REF,Protocol REF.1,Protocol REF.2,Protocol REF.3,Extract Name,Comment[LIBRARY_LAYOUT],Comment[LIBRARY_SELECTION],Comment[LIBRARY_SOURCE],Comment[LIBRARY_STRAND],Comment[LIBRARY_STRATEGY],Comment[cdna read],Comment[cdna read offset],Comment[cdna read size],Comment[cell barcode offset],Comment[cell barcode read],Comment[cell barcode size],Comment[end bias],Comment[input molecule],Comment[library construction],Comment[primer],Comment[sample barcode offset],Comment[sample barcode read],Comment[sample barcode size],Comment[single cell isolation],Comment[spike in],Comment[umi barcode offset],Comment[umi barcode read],Comment[umi barcode size],Protocol REF.4,Performer,Assay Name,Technology Type,Comment[ENA_EXPERIMENT],Scan Name,Comment[SUBMITTED_FILE_NAME],Comment[ENA_RUN],Comment[FASTQ_URI],Comment[READ_TYPE],Comment[READ_INDEX],Factor Value[age],Unit[time unit].1,Term Source REF.1,Term Accession Number.1,Factor Value[organism part],Factor Value[time],Unit[time unit].2,Term Source REF.2,Term Accession Number.2,Factor Value[immunophenotype]
FCAImmP7179365,ERS11951306,SAMEA14357646,Homo sapiens,16,week,EFO,UO_0000034,male,F21,late embryonic stage,spleen,  ,  ,  ,CD45+,cell,P-MTAB-118566,  ,P-MTAB-118567,P-MTAB-118568,FCAImmP7179365,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,3 prime tag,polyA RNA,10x 3' v2,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,FCAImmP7179365,sequencing assay,ERX9246053,FCAImmP7179365_S1_L001_R1_001.fastq.gz,FCAImmP7179365_S1_L001_R1_001.fastq.gz,ERR9696939,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696939/FCAImmP7179365_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,16,week,EFO,UO_0000034,spleen,  ,  ,  ,  ,CD45+
FCAImmP7179365,ERS11951306,SAMEA14357646,Homo sapiens,16,week,EFO,UO_0000034,male,F21,late embryonic stage,spleen,  ,  ,  ,CD45+,cell,P-MTAB-118566,  ,P-MTAB-118567,P-MTAB-118568,FCAImmP7179365,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,3 prime tag,polyA RNA,10x 3' v2,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,FCAImmP7179365,sequencing assay,ERX9246053,FCAImmP7179365_S1_L001_R2_001.fastq.gz,FCAImmP7179365_S1_L001_R2_001.fastq.gz,ERR9696939,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696939/FCAImmP7179365_S1_L001_R2_001.fastq.gz,single,read2,16,week,EFO,UO_0000034,spleen,  ,  ,  ,  ,CD45+
FCAImmP7179366,ERS11951307,SAMEA14357647,Homo sapiens,16,week,EFO,UO_0000034,male,F21,late embryonic stage,spleen,  ,  ,  ,CD45-,cell,P-MTAB-118566,  ,P-MTAB-118567,P-MTAB-118568,FCAImmP7179366,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,3 prime tag,polyA RNA,10x 3' v2,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,FCAImmP7179366,sequencing assay,ERX9246054,FCAImmP7179366_S1_L001_I1_001.fastq.gz,FCAImmP7179366_S1_L001_I1_001.fastq.gz,ERR9696940,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696940/FCAImmP7179366_S1_L001_I1_001.fastq.gz,sample_barcode,index1,16,week,EFO,UO_0000034,spleen,  ,  ,  ,  ,CD45-
FCAImmP7179366,ERS11951307,SAMEA14357647,Homo sapiens,16,week,EFO,UO_0000034,male,F21,late embryonic stage,spleen,  ,  ,  ,CD45-,cell,P-MTAB-118566,  ,P-MTAB-118567,P-MTAB-118568,FCAImmP7179366,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,3 prime tag,polyA RNA,10x 3' v2,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,FCAImmP7179366,sequencing assay,ERX9246054,FCAImmP7179366_S1_L001_R1_001.fastq.gz,FCAImmP7179366_S1_L001_R1_001.fastq.gz,ERR9696940,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696940/FCAImmP7179366_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,16,week,EFO,UO_0000034,spleen,  ,  ,  ,  ,CD45-
FCAImmP7179366,ERS11951307,SAMEA14357647,Homo sapiens,16,week,EFO,UO_0000034,male,F21,late embryonic stage,spleen,  ,  ,  ,CD45-,cell,P-MTAB-118566,  ,P-MTAB-118567,P-MTAB-118568,FCAImmP7179366,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,3 prime tag,polyA RNA,10x 3' v2,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,FCAImmP7179366,sequencing assay,ERX9246054,FCAImmP7179366_S1_L001_R2_001.fastq.gz,FCAImmP7179366_S1_L001_R2_001.fastq.gz,ERR9696940,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696940/FCAImmP7179366_S1_L001_R2_001.fastq.gz,single,read2,16,week,EFO,UO_0000034,spleen,  ,  ,  ,  ,CD45-
FCAImmP7198433,ERS11951308,SAMEA14357648,Homo sapiens,9,week,EFO,UO_0000034,female,F22,late embryonic stage,spleen,  ,  ,  ,unsorted,cell,P-MTAB-118566,  ,P-MTAB-118567,P-MTAB-118568,FCAImmP7198433,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,3 prime tag,polyA RNA,10x 3' v2,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,FCAImmP7198433,sequencing assay,ERX9246055,FCAImmP7198433_S1_L001_I1_001.fastq.gz,FCAImmP7198433_S1_L001_I1_001.fastq.gz,ERR9696941,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696941/FCAImmP7198433_S1_L001_I1_001.fastq.gz,sample_barcode,index1,9,week,EFO,UO_0000034,spleen,  ,  ,  ,  ,unsorted
FCAImmP7198433,ERS11951308,SAMEA14357648,Homo sapiens,9,week,EFO,UO_0000034,female,F22,late embryonic stage,spleen,  ,  ,  ,unsorted,cell,P-MTAB-118566,  ,P-MTAB-118567,P-MTAB-118568,FCAImmP7198433,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,3 prime tag,polyA RNA,10x 3' v2,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,FCAImmP7198433,sequencing assay,ERX9246055,FCAImmP7198433_S1_L001_R1_001.fastq.gz,FCAImmP7198433_S1_L001_R1_001.fastq.gz,ERR9696941,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696941/FCAImmP7198433_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,9,week,EFO,UO_0000034,spleen,  ,  ,  ,  ,unsorted
FCAImmP7198433,ERS11951308,SAMEA14357648,Homo sapiens,9,week,EFO,UO_0000034,female,F22,late embryonic stage,spleen,  ,  ,  ,unsorted,cell,P-MTAB-118566,  ,P-MTAB-118567,P-MTAB-118568,FCAImmP7198433,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,3 prime tag,polyA RNA,10x 3' v2,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,FCAImmP7198433,sequencing assay,ERX9246055,FCAImmP7198433_S1_L001_R2_001.fastq.gz,FCAImmP7198433_S1_L001_R2_001.fastq.gz,ERR9696941,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696941/FCAImmP7198433_S1_L001_R2_001.fastq.gz,single,read2,9,week,EFO,UO_0000034,spleen,  ,  ,  ,  ,unsorted
FCAImmP7198435,ERS11951309,SAMEA14357649,Homo sapiens,9,week,EFO,UO_0000034,female,F22,late embryonic stage,yolk sac,  ,  ,  ,unsorted,cell,P-MTAB-118566,  ,P-MTAB-118567,P-MTAB-118568,FCAImmP7198435,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,3 prime tag,polyA RNA,10x 3' v2,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,FCAImmP7198435,sequencing assay,ERX9246056,FCAImmP7198435_S1_L001_I1_001.fastq.gz,FCAImmP7198435_S1_L001_I1_001.fastq.gz,ERR9696942,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696942/FCAImmP7198435_S1_L001_I1_001.fastq.gz,sample_barcode,index1,9,week,EFO,UO_0000034,yolk sac,  ,  ,  ,  ,unsorted
FCAImmP7198435,ERS11951309,SAMEA14357649,Homo sapiens,9,week,EFO,UO_0000034,female,F22,late embryonic stage,yolk sac,  ,  ,  ,unsorted,cell,P-MTAB-118566,  ,P-MTAB-118567,P-MTAB-118568,FCAImmP7198435,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,3 prime tag,polyA RNA,10x 3' v2,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,FCAImmP7198435,sequencing assay,ERX9246056,FCAImmP7198435_S1_L001_R1_001.fastq.gz,FCAImmP7198435_S1_L001_R1_001.fastq.gz,ERR9696942,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696942/FCAImmP7198435_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,9,week,EFO,UO_0000034,yolk sac,  ,  ,  ,  ,unsorted
FCAImmP7198435,ERS11951309,SAMEA14357649,Homo sapiens,9,week,EFO,UO_0000034,female,F22,late embryonic stage,yolk sac,  ,  ,  ,unsorted,cell,P-MTAB-118566,  ,P-MTAB-118567,P-MTAB-118568,FCAImmP7198435,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,3 prime tag,polyA RNA,10x 3' v2,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,FCAImmP7198435,sequencing assay,ERX9246056,FCAImmP7198435_S1_L001_R2_001.fastq.gz,FCAImmP7198435_S1_L001_R2_001.fastq.gz,ERR9696942,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696942/FCAImmP7198435_S1_L001_R2_001.fastq.gz,single,read2,9,week,EFO,UO_0000034,yolk sac,  ,  ,  ,  ,unsorted
FCAImmP7198632,ERS11951310,SAMEA14357650,Homo sapiens,11,week,EFO,UO_0000034,male,F23,late embryonic stage,spleen,  ,  ,  ,CD45+,cell,P-MTAB-118566,  ,P-MTAB-118567,P-MTAB-118568,FCAImmP7198632,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,3 prime tag,polyA RNA,10x 3' v2,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,FCAImmP7198632,sequencing assay,ERX9246057,FCAImmP7198632_S1_L001_I1_001.fastq.gz,FCAImmP7198632_S1_L001_I1_001.fastq.gz,ERR9696943,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696943/FCAImmP7198632_S1_L001_I1_001.fastq.gz,sample_barcode,index1,11,week,EFO,UO_0000034,spleen,  ,  ,  ,  ,CD45+
FCAImmP7198632,ERS11951310,SAMEA14357650,Homo sapiens,11,week,EFO,UO_0000034,male,F23,late embryonic stage,spleen,  ,  ,  ,CD45+,cell,P-MTAB-118566,  ,P-MTAB-118567,P-MTAB-118568,FCAImmP7198632,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,3 prime tag,polyA RNA,10x 3' v2,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,FCAImmP7198632,sequencing assay,ERX9246057,FCAImmP7198632_S1_L001_R1_001.fastq.gz,FCAImmP7198632_S1_L001_R1_001.fastq.gz,ERR9696943,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696943/FCAImmP7198632_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,11,week,EFO,UO_0000034,spleen,  ,  ,  ,  ,CD45+
FCAImmP7198632,ERS11951310,SAMEA14357650,Homo sapiens,11,week,EFO,UO_0000034,male,F23,late embryonic stage,spleen,  ,  ,  ,CD45+,cell,P-MTAB-118566,  ,P-MTAB-118567,P-MTAB-118568,FCAImmP7198632,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,3 prime tag,polyA RNA,10x 3' v2,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,FCAImmP7198632,sequencing assay,ERX9246057,FCAImmP7198632_S1_L001_R2_001.fastq.gz,FCAImmP7198632_S1_L001_R2_001.fastq.gz,ERR9696943,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696943/FCAImmP7198632_S1_L001_R2_001.fastq.gz,single,read2,11,week,EFO,UO_0000034,spleen,  ,  ,  ,  ,CD45+
FCAImmP7198633,ERS11951311,SAMEA14357651,Homo sapiens,11,week,EFO,UO_0000034,male,F23,late embryonic stage,spleen,  ,  ,  ,CD45-,cell,P-MTAB-118566,  ,P-MTAB-118567,P-MTAB-118568,FCAImmP7198633,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,3 prime tag,polyA RNA,10x 3' v2,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,FCAImmP7198633,sequencing assay,ERX9246058,FCAImmP7198633_S1_L001_I1_001.fastq.gz,FCAImmP7198633_S1_L001_I1_001.fastq.gz,ERR9696944,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696944/FCAImmP7198633_S1_L001_I1_001.fastq.gz,sample_barcode,index1,11,week,EFO,UO_0000034,spleen,  ,  ,  ,  ,CD45-
FCAImmP7198633,ERS11951311,SAMEA14357651,Homo sapiens,11,week,EFO,UO_0000034,male,F23,late embryonic stage,spleen,  ,  ,  ,CD45-,cell,P-MTAB-118566,  ,P-MTAB-118567,P-MTAB-118568,FCAImmP7198633,PAIRED,unspecified,TRANSCRIPTOMIC SINGLE CELL,not applicable,RNA-Seq,read2,0,98,0,read1,14,3 prime tag,polyA RNA,10x 3' v2,oligo-dT,0,index1,8,10x,none,16,read1,10,P-MTAB-118569,Wellcome Sanger Institute sequencing facility,FCAImmP7198633,sequencing assay,ERX9246058,FCAImmP7198633_S1_L001_R1_001.fastq.gz,FCAImmP7198633_S1_L001_R1_001.fastq.gz,ERR9696944,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR969/ERR9696944/FCAImmP7198633_S1_L001_R1_001.fastq.gz,"cell_barcode, umi_barcode",read1,11,week,EFO,UO_0000034,spleen,  ,  ,  ,  ,CD45-
